"動脈","どうみゃく","artery"
"賑わい","にぎわい","prosperity, bustle, activity, crowd, turnout"
"唐突","とうとつ","abrupt, sudden"
"見事","みごと","splendid, magnificent, excellent, fine, superb, beautiful, admirable; utter (esp. defeat), total, complete; something worth seeing, sight, spectacle"
"靡かせる","なびかせる","to fly, to flutter; to win over, to win one's heart, to subdue"
"(null)","",""
"均整","きんせい","symmetry, balance, proportion, uniformity"
"仏頂面","ぶっちょうづら","sour look"
"美貌","びぼう","beautiful face, good looks, beauty"
"台無し","だいなし","mess, spoiled, spoilt, (come to) nothing, ruin"
"敵対","てきたい","hostility, antagonism, opposition"
"獰猛","どうもう","ferocious, fierce, truculent, savage"
"頭部","とうぶ","head, cranium; cephalic"
"気高い","けだかい","sublime, noble, high-minded"
"上品","じょうひん","elegant, refined, polished"
"面構え","つらがまえ","expression (esp. fierce, fearless, sinister, etc.), look"
"たたむ","","to fold (clothes, umbrella); to close (a shop, business); to vacate"
"蝶","","butterfly"
"鋼色","はがねいろ","steel blue"
"覆う","おおう","to cover, to hide, to conceal, to wrap, to disguise"
"まるで","","quite, entirely, completely, at all; as if, as though, just like"
"脱出","だっしゅつ","escape, break-out; prolapse, proptosis"
"人波","ひとなみ","surging crowd, wave of humanity, stampede"
"恐れる","おそれる","to fear, to be afraid of"
"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"理不尽","りふじん","unreasonable, irrational, outrageous, absurd"
"早々","そうそう","as soon as..., just after..., immediately after...; hurriedly, in haste, quickly, promptly, early"
"不埒","ふらち","lawless, outrageous, insolent, rude, inexcusable, unpardonable"
"触る","さわる","to touch, to feel"
"突き落とす","つきおとす","to thrust down, to push off"
"不可抗力","ふかこうりょく","act of God, irresistible force, inevitability; force majeure, vis major"
"解剖学","かいぼうがく","anatomy"
"破壊","はかい","destruction, disruption; (application) crash"
"標本","ひょうほん","example, specimen, sample"
"馴れ合う","なれあう","to collude (with), to conspire (with); to make friends with, to get along well with; to become intimate (with opposite sex), to establish a secret liaison (with)"
"孤立","こりつ","isolation, being alone, being friendless"
"群がる","むらがる","to swarm, to gather"
"銀蝿","ぎんばえ","large silvery fly"
"得てして","えてして","often (happens), tend to, be apt to, be likely to"
"はえ","","fly (any insect of infraorder Muscomorpha); person of no worth, pisher, scrub"
"前足","まえあし","forefoot, forefeet, foreleg, forelimb"
"前方","ぜんぽう","forward, frontward, ahead; rectangular front"
"着崩れ","きくずれ","worn out of shape"
"軍用品","ぐんようひん","military stores, munitions of war"
"加えて","くわえて","additionally, in addition, moreover, at the same time"
"呪符","じゅふ","amulet, charm"
"鋭角","えいかく","acute angle"
"十中八九","じっちゅうはっく","in 8 or 9 cases out of ten, in all probability"
"精巧","せいこう","elaborate, delicate, exquisite"
"奪う","うばう","to snatch away, to dispossess, to steal"
"芝居","しばい","play, drama"
"せりふ","","speech, words, one's lines, remarks"
"つく","","to breathe out, to breathe; to tell (a lie), to use (foul language); to vomit, to throw up, to spit up"
"有力候補","ゆうりょくこうほ","major contender, strong (leading) candidate, front runner"
"恐竜","きょうりゅう","dinosaur"
"からかう","","to ridicule, to tease, to mock, to chaff, to razz, to banter with, to make fun of, to poke fun at, to make cracks about"
"金糸","きんし","gold thread"
"刺繍","ししゅう","embroidery"
"授与","じゅよ","awarding, conferment, granting, presentation"
"無礼","ぶれい","impolite, rude"
"譲る","ゆずる","to hand over, to transfer, to turn over, to assign, to convey, to bequeath; to give up (e.g. one's seat), to give way; to yield, to concede, to give ground, to surrender; to sell; to postpone, to put off, to defer"
"一瞬","いっしゅん","instant, moment, for an instant"
"挑戦","ちょうせん","challenge, defiance, dare, attempt, try"
"予告","よこく","advance notice, previous note, preliminary announcement"
"深々","ふかぶか","very deeply"
"凍てつく","いてつく","to freeze"
"殺気","さっき","thirst for blood, bloodlust, determination to kill"
"叩きつける","たたきつける","to strike, to throw, to slap something onto, to dash (e.g. to the floor); to thrust at someone (e.g. a letter)"
"巻き添え","まきぞえ","getting mixed up in, getting embroiled in, involvement, entanglement, by-blow"
"夕刻","ゆうこく","evening, evening hour"
"薄暗い","うすぐらい","dim, gloomy"
"廊下","ろうか","corridor, hallway, passageway"
"握り締める","にぎりしめる","to grasp tightly"
"紙切り","かみきり","paper silhouette cutout, paper knife"
"紙切れ","かみきれ","piece of paper, slip of paper, strip of paper, scrap of paper"
"耐える","たえる","to bear, to stand, to endure, to put up with; to support, to withstand, to resist, to brave; to be fit for, to be equal to"
"慰め","なぐさめ","comfort, consolation, diversion"
"修行","しゅぎょう","ascetic practices; training, practice, discipline, study"
"筆記","ひっき","(taking) notes, copying"
"雪崩れる","なだれる","to slope, to descend; to slide (snow, etc.)"
"鼓動","こどう","beat, palpitation, pulsation, throbbing"
"ひた走る","ひたはしる","to run at full speed, to run and run; to try one's hardest"
"風変わり","ふうがわり","strange, eccentric"
"おぼしき","","apparently, appears to be"
"容貌","ようぼう","looks, personal appearance, features"
"不可解","ふかかい","incomprehensible, mysterious, inexplicable, inscrutable, enigmatic, baffling"
"覆い","おおい","cover, mantle, shroud, hood"
"魅力","みりょく","charm, fascination, glamour, glamor, attraction, appeal"
"途切れる","とぎれる","to break off, to come to an end, to be interrupted, to be cut short, to pause"
"おまじない","","good luck charm; uttered when using magic, abracadabra, presto"
"汚染","おせん","pollution, contamination"
"澄ます","すます","to clear, to make clear; to be unruffled, to look unconcerned, to feign indifference; to look demure, to look prim, to put on airs; to strain (one's ears), to listen carefully"
"半日","はんにち","half day"
"西欧","せいおう","Western Europe"
"全寮制","ぜんりょうせい","system where all students live in dormitories, residential system, boarding system (e.g. boarding school)"
"妙","みょう","strange, weird, odd, curious; wonder, mystery, miracle, excellence; cleverness, adroitness, knack, skill"
"裏切る","うらぎる","to betray, to turn traitor to, to double-cross"
"切ない","せつない","painful, heartrending, trying; oppressive, suffocating, miserable"
"夜会","やかい","evening party"
"開かれる","ひらかれる","to be open"
"引き締める","ひきしめる","to tighten, to stiffen, to brace, to strain"
"競う","きそう","to compete, to contend, to vie, to contest"
"血みどろ","ちみどろ","bloody, gory, covered in copious amounts of blood, blood-drenched; desperate, frantic"
"血塗る","ちぬる","to smear with blood, to kill"
"宴","","banquet, feast, party"
"あおかん","","sleeping under the stars; having sex outdoors"
"清純","せいじゅん","purity, innocence"
"誠心誠意","せいしんせいい","in all sincerity, with one's whole heart, whole-hearted devotion"
"ことごとく","","altogether, entirely"
"藪","","thicket, bush, underbrush, grove"
"衆人環視","しゅうじんかんし","(in) the presence of the whole company, with all eyes filed upon (one)"
"覚悟","かくご","resolution, resignation, readiness, preparedness"
"勘違い","かんちがい","misunderstanding, mistaken idea, wrong guess"
"横","よこ","horizontal (as opposed to vertical), lying down; side-to-side (as opposed to front-to-back), width, breadth; side (of a box, etc.); beside, aside, next to; unconnected"
"近代","きんだい","present day, modern times, recent times; early modern period (in Japan, usu. from the Meiji Restoration until the end of World War II)"
"風景","ふうけい","scenery, scene, landscape, view, sight; scene (e.g. of a crime)"
"渡り","わたり","crossing, passage, transit; importing, import; wandering, wanderer; migration; contact, relations, negotiations; connection (in the game of go); glide"
"吐き出す","はきだす","to vomit, to spit out"
"大英帝国","だいえいていこく","the British Empire"
"学術","がくじゅつ","science, learning, scholarship, arts and sciences, academic pursuits"
"駅舎","えきしゃ","station building"
"終点","しゅうてん","terminus, last stop (e.g. train)"
"乗客","じょうきゃく","passenger"
"疑問","ぎもん","doubt, question, suspicion, dubiousness"
"不満","ふまん","dissatisfaction, displeasure, discontent, complaints, unhappiness, disgruntled"
"切迫","せっぱく","pressure, urgency, tension, imminence, acuteness"
"様子","ようす","state, state of affairs, situation, circumstances; appearance, look, aspect; sign, indication"
"落ち着く","おちつく","to calm down, to compose oneself, to regain presence of mind; to calm down, to settle down, to die down, to become stable, to abate; to settle down (in a location, job, etc.), to settle in; to be settled, to be fixed, to have been reached; to harmonize with, to harmonise with, to match, to suit, to fit; to be unobtrusive, to be quiet, to be subdued"
"動揺","どうよう","shaking, trembling, pitching, rolling, oscillation; disturbance, unrest, agitation, excitement, commotion, turmoil, discomposure, feeling shaken"
"恐慌","きょうこう","panic, scare, consternation"
"陥る","おちいる","to fall into (e.g. a hole); to fall into (chaos, depression, dilemma, illness, etc.); to fall into (a trap, etc.); to fall, to surrender, to capitulate"
"悲鳴","ひめい","shriek, scream"
"怒号","どごう","angry roar, bellow"
"減速","げんそく","deceleration"
"素振り","そぶり","behavior, behaviour, manner, attitude, bearing"
"傾斜","けいしゃ","inclination, slant, slope, bevel, list, dip, tilt, lean"
"道理","どうり","reason, logic, sense, truth, right"
"大惨事","だいさんじ","great disaster, horrible tragedy, catastrophe, catastrophic event, catastrophic incident, dire calamity, terrible disaster, apocalypse"
"比喩","ひゆ","simile, metaphor, allegory, parable"
"震える","ふるえる","to shiver, to shake, to quake, to tremble, to quaver, to quiver"
"一斉","いっせい","simultaneous, all at once"
"引き締まる","ひきしまる","to become tense, to be tightened, to become firm (e.g. body)"
"眼光","がんこう","glint in eye, discernment"
"猛禽","もうきん","bird of prey"
"鋭い","するどい","sharp (blade), pointed; sharp (pain), stabbing, cutting (remark), stinging, pointed (question or look), screeching (noise); perceptive, keen, quick (mind), astute, shrewd, discerning; nimble, agile, quick"
"布地","ぬのじ","cloth, fabric"
"艶やか","つややか","glossy (e.g. hair), sleek, shiny, lustrous"
"目鼻","めはな","eyes and nose; looks, facial features; shape, form"
"一見","いっけん","look, glimpse, glance; apparently, seemingly; first meeting"
"地味","じみ","plain, simple, subdued, sober; reserved (behaviour, attitude, etc.), modest, quiet, unobtrusive; quite, a (little) bit"
"極めて","きわめて","exceedingly, extremely, decisively"
"精緻","せいち","delicate, minute, subtle"
"美術品","びじゅつひん","work of art"
"届く","とどく","to reach, to arrive, to get through, to get at; to be attentive, to pay attention; to be delivered, to carry (e.g. sound)"
"黒髪","くろかみ","black hair"
"光沢","こうたく","brilliance, polish, lustre, luster, glossy finish (of photographs)"
"肌","","texture, skin, body, grain"
"白桃","はくとう","white peach"
"文字通り","もじどおり","literal; literally"
"ただならぬ","","unusual, uncommon, extraordinary, out of the ordinary, incomparable, serious, alarming"
"存在感","そんざいかん","presence (impressive quality)"
"車両","しゃりょう","rolling stock, railroad cars, wheeled vehicles"
"命令形","めいれいけい","imperative form, command"
"縮こまる","ちぢこまる","to curl oneself up, to squeeze oneself in, to be huddled"
"怯える","おびえる","to become frightened, to be frightened (of), to be scared (of)"
"身軽","みがる","agile, nimble, light (of foot); casual (clothing), light (e.g. luggage); carefree, with limited responsibility"
"屋根","やね","roof"
"軽々","かるがる","lightly, easily, carelessly"
"軽業師","かるわざし","acrobat"
"脱線","だっせん","derailment; digression, deviation"
"手前","てまえ","before oneself, in front of one, nearby; a bit before reaching (a location), this side (of a location); one's standpoint, one's appearance; we; you"
"森閑","しんかん","silent, still, quiet, hushed"
"蹴る","ける","to kick; to refuse, to reject; to stamp (on the ground), to firmly press one's feet (against something)"
"進行","しんこう","moving forward (e.g. vehicle), onward movement; advance (work, procedure, etc.), advancement, progress; progress (of a disease), disease progression; progression (harmonic, melodic)"
"跳躍","ちょうやく","jump, leap, skip, bound"
"反動","はんどう","reaction, recoil, kick, backlash"
"制動","せいどう","braking (mechanism)"
"急減","きゅうげん","sudden decrease"
"弾丸","だんがん","bullet, shot, shell"
"着地","ちゃくち","landing"
"詰め","つめ","stuffing, packing; end (esp. the foot of a bridge); lowest-ranking guest at tea ceremony; tea master; endgame (esp. in shogi or used figuratively); sweet eel sauce; middle-aged woman; appointment to a particular workplace; using as the sole ground of judgement (judgment); continuing, keep doing for period of time"
"轢殺","れきさつ","killing by running over with a car or train"
"異変","いへん","unusual event, strange occurrence, strange phenomenon, something abnormal, change (for the worse), accident, disaster"
"突起","とっき","protuberance, projection, prominence, bump, boss, process, apophysis"
"刹那","せつな","moment, instant; kshana, duration of a single mental event (about 1/75 second), shortest possible interval of time"
"青白","あおじろ","blue and white; paleness, pallidness"
"錠","じょう","lock, padlock; tablet, lozenge, pill"
"目前","もくぜん","before one's very eyes, under one's nose, imminence, close at hand"
"数百","すうひゃく","several hundreds"
"質量","しつりょう","mass"
"激突","げきとつ","crash into, clash"
"後続","こうぞく","succeeding, following, trailing"
"玉突き","たまつき","billiards, pool; serial collisions (of cars)"
"浮き","うき","floating, buoyancy; fishing float, bobber; buoy; lifebuoy, life belt, float, rubber ring"
"枕木","まくらぎ","sleeper, railroad tie"
"大地","だいち","ground, earth, the solid earth, the (vast) land"
"盛大","せいだい","grand, magnificent, lavish, large scale, prosperous, thriving, lively; forceful, powerful, vigorous"
"後退","こうたい","retreat, falling back, moving backwards, reversing, retrogression, retraction; recession, waning; backspace (key)"
"剛性","ごうせい","hardness, rigidity"
"発揮","はっき","show (of power, ability, etc.), exhibition, demonstration, display, manifestation"
"最小限","さいしょうげん","minimum, lowest"
"散乱","さんらん","dispersion, scattering, spreading out, diffusion"
"重傷者","じゅうしょうしゃ","severely wounded person"
"一瞥","いちべつ","(a) glance, (a) look"
"感慨","かんがい","deep emotion, strong feelings"
"背後","はいご","back, rear; background, behind the scenes"
"凝視","ぎょうし","stare, gaze, fixation"
"呼吸","こきゅう","breathing, respiration; knack, trick, secret (of doing something); harmony, balance, synchronization, accord; short interval, short pause"
"生身","なまみ","living flesh, flesh and blood; physical body of Buddha or a bodhisattva"
"安価","あんか","low-priced, cheap, inexpensive; shallow (e.g. sympathy), superficial, cheap (e.g. government)"
"痛烈","つうれつ","severe, bitter, scathing"
"一目散に","いちもくさんに","at full speed, as fast as one's legs can carry one"
"胸中","きょうちゅう","one's heart, one's mind, one's intentions"
"渦巻き","うずまき","whirlpool, eddy, coil"
"渦巻く","うずまく","to whirl, to eddy, to swirl, to curl (smoke); to be all jumbled together (feelings, thoughts, etc.); to surge, to sweep"
"劣情","れつじょう","animal passions, carnal desire, lust"
"招く","まねく","to invite, to ask; to beckon, to wave someone in, to gesture to; to call in, to send for, to summon; to bring on oneself, to cause, to incur, to lead to, to result in"
"握り","にぎり","grasping, gripping, grasp, grip, clutch; handful, fistful; handle, grip, knob; rice ball; nigirizushi, hand-formed sushi with a topping of seafood, etc."
"足元","あしもと","at one's feet, underfoot, one's step (as in ""watch your step""); gait, pace, step; most recent, current; you, thou"
"目尻","めじり","outer canthus, outer corner of the eye"
"根負け","こんまけ","being beaten down by one's opponent's persistence, being outlasted, running out of patience"
"警官","けいかん","police officer, policeman, constable"
"呆然","ぼうぜん","dumbfounded, overcome with surprise, in blank amazement, in a daze"
"体系","たいけい","system, organization, organisation, architecture"
"築き上げる","きずきあげる","to build up, to establish (one's reputation)"
"一変","いっぺん","complete change, about-face"
"近代的","きんだいてき","modern"
"詠唱","えいしょう","aria; singing, chanting"
"従来","じゅうらい","up to now, so far; traditional, conventional, usual, existing"
"迅速","じんそく","quick, fast, rapid, swift, prompt, streamlined, expedited, expeditious"
"精確","せいかく","detailed and accurate, exhaustive and precise, meticulous, finely detailed"
"行使","こうし","use, exercise (of one's right, authority, power, etc.)"
"呪文","じゅもん","spell, charm, incantation, magic word"
"もたらす","","to bring, to take, to bring about"
"誇る","ほこる","to boast of, to be proud of"
"破滅","はめつ","ruin, destruction, fall"
"軍拡","ぐんかく","expansion of armaments"
"発掘","はっくつ","excavation, exhumation; discovery (e.g. new talent)"
"列強","れっきょう","major powers of the world, great powers"
"血眼","ちまなこ","bloodshot eyes; (doing something in a) frenzy"
"必然","ひつぜん","inevitable, necessary, certain, sure; inevitability, necessity"
"中心部","ちゅうしんぶ","central part, heart (of a city)"
"連れ","つれ","companion, company"
"黒煙","こくえん","black smoke"
"火の粉","ひのこ","sparks"
"散る","ちる","to fall (e.g. blossoms, leaves); to scatter, to be dispersed; to disappear, to dissolve, to break up; to spread, to run, to blur; to die a noble death"
"奥","おく","inner part, inside, interior, depths (e.g. of a forest), back (of a house, drawer, etc.), bottom (e.g. of one's heart), recesses, heart"
"障子","しょうじ","shoji (paper sliding door)"
"蹴破る","けやぶる","to break (by kicking), to kick down (e.g. a door), to kick open, to break down, to break open; to smash through (e.g. the enemy), to rout"
"張り裂ける","はりさける","to burst (open), to break, to split"
"急がす","いそがす","to hurry up, to press on, to hasten"
"手遅れ","ておくれ","being too late, losing one's final chance"
"梁","","weir, fish trap, beam, girder"
"大広間","おおひろま","banquet or reception hall"
"開け放つ","あけはなつ","to throw open, to leave open"
"代替","だいたい","substitution, alternation; alternative, substitute"
"無論","むろん","of course, certainly, naturally"
"比較","ひかく","comparison"
"抑制","よくせい","control, restraint, suppression, constraint, curtailment, inhibition, check, curb"
"単調","たんちょう","monotony, monotone, dullness; monotone, monotonic"
"あくび","","yawn, yawning; kanji ""yawning"" radical (radical 76)"
"散見","さんけん","being seen here and there"
"小動物","しょうどうぶつ","small animal"
"図体","ずうたい","body, frame"
"しつらえる","","to provide, to arrange, to install"
"待機","たいき","standing by, awaiting an opportunity, being on alert"
"読み書き","よみかき","reading and writing"
"蒼","","blue, pale"
"盗み見る","ぬすみみる","to steal a glance, to intercept and read (e.g. other people's email)"
"睨み返す","にらみかえす","to stare back (at), to glare back"
"眉間","みけん","brow, glabella, middle forehead, area between the eyebrows"
"直撃","ちょくげき","direct hit"
"取り乱す","とりみだす","to be upset, to lose one's composure, to lose self-control, to go to pieces, to be shaken up, to break down, to be flustered, to blow one's cool; to put in disorder, to mess up, to disturb, to scatter about"
"悶える","もだえる","to writhe (in pain), to be in agony; to be anguished, to be agonized, to be troubled"
"破片","はへん","fragment, broken piece, splinter, chip, shard"
"銀縁","ぎんぶち","silver-rimmed"
"凍土","とうど","frozen soil"
"双眸","そうぼう","pair of eyes"
"聞き流す","ききながす","to ignore"
"命知らず","いのちしらず","recklessness, daredevilry, rashness; long-lasting"
"初歩的","しょほてき","elementary, basic, rudimentary"
"新入り","しんいり","newcomer, initiate, rookie"
"寝不足","ねぶそく","lack of sleep, insufficient sleep"
"夢見","ゆめみ","having a dream"
"明察","めいさつ","discernment, penetration, insight, intellectual acumen"
"度胸","どきょう","courage, bravery, pluck, nerve, grit, guts"
"普及","ふきゅう","diffusion, spread, popularization, promulgation, familiarization"
"発電","はつでん","generation (e.g. power); sending a telegram, telegraphing"
"肺活量","はいかつりょう","lung capacity"
"矛先","ほこさき","point of spear, spearhead; brunt, aim of attack, force of argument"
"減点","げんてん","subtracting points; points deducted"
"新た","あらた","new, fresh, novel"
"自律","じりつ","autonomy (philosophy); self-control"
"淡々","たんたん","uninterested, unconcerned, indifferent, dispassionate, matter-of-fact, detached; plain, light, simple, bland; flowing gently"
"異なる","ことなる","to differ, to vary, to disagree"
"共存","きょうぞん","coexistence"
"基礎","きそ","foundation, basis"
"活性","かっせい","activity"
"不協和","ふきょうわ","dissonance, discord"
"何らか","なんらか","some, any, in any way, of some kind, of some sort"
"搭載","とうさい","loading (on board), equipping; equipped (with), built-in"
"発明","はつめい","invention; intelligent, clever; being enlightened, having the meaning of everything become clear"
"始原","しげん","start, origin, beginnings"
"始点","してん","point of departure, initial point, starting point"
"未解明","みかいめい","unexplained, unsolved, unclear"
"自由度","じゆうど","degree of freedom"
"知性","ちせい","intelligence"
"与える","あたえる","to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply; to assign; to cause; to pass (a variable to a function)"
"発汗","はっかん","sweating, perspiration, sudation, hidrosis, diaphoresis"
"再現","さいげん","reappearance, reemergence, return, revival; reproduction, reenactment, recreation"
"歪める","ゆがめる","to bend, to curve, to warp, to distort, to disfigure; to bend (the truth), to falsify, to twist; to corrupt, to sully"
"模倣","もほう","imitation, copying"
"紛れる","まぎれる","to disappear into, to be lost in, to slip into, to get mixed in among; to do something under the cover of (confusion, etc.); to be almost indistinguishable, to be confusingly similar; to be diverted from (negative emotions, etc.), to forget about; to be distracted by, to be too absorbed in"
"潜入","せんにゅう","infiltration, sneaking in"
"諜報","ちょうほう","secret information, intelligence"
"羅刹","らせつ","rakshasa, man-eating demon in Hinduism and Buddhism"
"激しい","はげしい","violent, furious, tempestuous; extreme, intense, fierce, strong; fervent, vehement; incessant, relentless; precipitous, steep"
"失笑","しっしょう","laughing at an inappropriate time, not being able to hold back one's laughter; scornful laughter, snicker, snigger"
"鐘","","bell, gong, chimes"
"垂れる","たれる","to hang, to droop, to dangle, to sag, to lower, to pull down; to leave behind (at death), to give, to confer; to drip, to ooze, to trickle, to drop"
"意地","いじ","stubbornness, obstinacy, willpower, pride; disposition, nature; appetite, desire, greed"
"暴動","ぼうどう","insurrection, rebellion, revolt, riot, uprising"
"逆らう","さからう","to go against, to oppose, to disobey, to defy"
"鉄筋","てっきん","rebar, (iron) reinforcing bar, reinforcing steel; reinforced concrete"
"鮮明","せんめい","vivid, clear, distinct"
"開放","かいほう","opening (a door, window, etc.), leaving open; opening up (e.g. to the public), allowing (public) access"
"清潔","せいけつ","clean, hygienic, sanitary; pure, virtuous, immaculate"
"あほうづら","","stupid face, foolish look on one's face"
"金属","きんぞく","metal"
"肉料理","にくりょうり","meat dish"
"空腹","くうふく","empty stomach, hunger"
"思考力","しこうりょく","ability to think"
"操作","そうさ","operation, management, handling; manipulating (to one's benefit), manipulation, influencing"
"紙幣","しへい","paper money, note, bill"
"勘定","かんじょう","calculation, computation, counting, reckoning, count; bill, check, account, payment (of a bill), settlement (of an account); consideration, allowance"
"愕然","がくぜん","astonished, shocked, amazed, astounded, aghast"
"別途","べっと","separate, special, another; separately"
"異邦","いほう","foreign country"
"心底","しんそこ","bottom of one's heart, depths of one's mind, innermost thoughts; completely (from the bottom of one's heart), truly"
"間抜け","まぬけ","stupid, foolish, idiotic, inane; fool, idiot, blockhead, half-wit"
"挟む","はさむ","to hold between (e.g. one's fingers, chopsticks), to grip (from both sides); to put between, to sandwich between, to insert, to interpose; to catch (e.g. a finger in a door), to trap, to pinch; to insert (e.g. a break into proceedings), to interpose (e.g. an objection), to interject, to throw in (e.g. a joke); to be on either side of (a road, table, etc.), to have between each other, to be across (a street, river, etc.); to harbour (feelings), to cast (e.g. doubt)"
"見覚え","みおぼえ","remembrance, recollection, recognition"
"挟まる","はさまる","to get between, to be caught in"
