"慰める","なぐさめる","to comfort, to console, to amuse"
"限る","かぎる","to restrict, to limit, to confine; to be restricted to, to be limited to, to be confined to; to be best (for), to be the best plan, to be the only way (to)"
"としても","","assuming ..., even if ..."
"歳月","さいげつ","time, years"
"あらゆる","","all, every"
"姿勢","しせい","posture, pose, position, stance, carriage (of the body); attitude, approach, stance"
"年老","としおい","old person"
"年老いる","としおいる","to grow old"
"苦痛","くつう","pain, agony, bitterness"
"一般論","いっぱんろん","prevailing view, common opinion, general consideration"
"努める","つとめる","to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself, to be diligent, to be committed (to doing something)"
"となく","","adds vagueness and indirectness to the word or phrase it is used with"
"手痛い","ていたい","severe, hard"
"欺く","あざむく","to deceive, to delude, to trick, to fool; to be as ... as ... (e.g. ""as bright as day"", ""as beautiful as a rose"")"
"音を立てる","おとをたてる","to make a sound"
"通り過ぎる","とおりすぎる","to go past, to pass, to pass by"
"閉ざす","とざす","to shut, to close, to lock, to fasten; to block (e.g. the way), to shut off, to shut in; to plunge (in grief)"
"あるいは","","or, either ... or; maybe, perhaps, possibly; sometimes, some"
"療養","りょうよう","recuperation, medical treatment"
"手段","しゅだん","means, way, measure"
"ささやか","","meagre, meager, modest"
"試み","こころみ","attempt, trial, experiment; endeavour (endeavor), effort, venture, initiative"
"奥深さ","おくふかさ","depth, profundity"
"奥深い","おくふかい","profound, deep; deep (of a cave, etc.), innermost, interior"
"沈み込む","しずみこむ","to sink (into); to get depressed"
"弁解","べんかい","explanation (e.g. for one's actions), excuse, justification, defense, defence"
"付け加える","つけくわえる","to add (one thing to another), to add (a few more words, an explanation, etc.)"
"平原","へいげん","plain, moor, prairie"
"不幸","ふこう","unhappiness, sorrow, misfortune, disaster, accident; death (usu. of a relative), bereavement"
"自身","じしん","(one's) self, oneself"
"不毛","ふもう","barren, sterile, infertile; unproductive (e.g. discussion), fruitless"
"つらく","","harshly, bitterly, cruelly, badly"
"でたらめ","","nonsense, irresponsible remark, codswallop, hogwash, rubbish; random, haphazard, unsystematic"
"稚拙","ちせつ","unskillful, childish, immature, naive, artless, clumsy, crude"
"として","","as (i.e. in the role of), for (i.e. from the viewpoint of); apart from... (used to change the topic); even (e.g. ""not even a single person""); thinking that..., trying to..."
"戦う","たたかう","to make war (on), to wage war (against), to go to war (with), to fight (with), to do battle (against); to compete (against); to struggle (against adversities, etc.), to fight, to contend, to resist"
"数少ない","かずすくない","few in number"
"非凡","ひぼん","extraordinary, uncommon, remarkable, unusual, rare, prodigious"
"伍す","ごす","to rank with, to rank among"
"決して","けっして","never, by no means, not in the least, in no way"
"劣る","おとる","to be inferior to, to be less good at, to fall behind"
"明確","めいかく","clear, precise, definite, distinct"
"捉える","とらえる","to catch, to capture, to seize, to arrest, to grab, to catch hold of; to grasp (e.g. meaning), to perceive, to capture (e.g. features); to captivate, to move (one's heart)"
"結局のところ","けっきょくのところ","in the end, at the end of the day"
"肖像画","しょうぞうが","portrait"
"抱え","かかえ","armful; employee"
"飛び下り","とびおり","jumping off"
"絶版","ぜっぱん","out of print"
"股","もも","thigh; femoral"
"皮膚","ひふ","skin"
"皮膚病","ひふびょう","skin disease"
"がん","","cancer"
"憂い","うれい","sorrow, grief, anguish, distress; trouble, affliction, anxiety, fear, misgivings"
"煩い","わずらい","worry, agony, vexation; illness, sickness"
"患う","わずらう","to be ill, to suffer from; to worry about, to be concerned about; to have trouble doing ..., to be unable to ..., to fail to ..."
"体中","からだじゅう","all over the body, from head to foot, all over"
"切り裂く","きりさく","to cut off, to cut up, to tear to pieces"
"詰める","つめる","to stuff into, to jam, to cram, to pack, to fill, to plug, to stop up; to shorten, to move closer together; to reduce (spending), to conserve; to focus intently on, to strain oneself to do; to go through thoroughly, to work out (details), to bring to a conclusion, to wind up; to be on duty, to be stationed; to corner (esp. an opponent's king in shogi), to trap, to checkmate; to cut off (one's finger as an act of apology), to catch (one's finger in a door, etc.); to do non-stop, to do continuously, to keep doing (without a break); to do completely, to do thoroughly; to force someone into a difficult situation by ..."
"抜く","ぬく","to pull out, to draw out, to extract, to unplug, to weed; to omit, to leave out, to go without, to skip; to do to the end, to carry through; to let out (e.g. air from a tyre), to drain (e.g. water from a bath), to empty; to pick out, to choose, to select, to extract; to pilfer, to steal; to remove, to get rid of, to take out; to pass, to overtake, to outstrip, to get ahead of; to pierce, to break through, to go through; to cut out (a shape), to create (a pattern) by dying the surrounding area; to seize, to capture, to reduce; to scoop (a story); to take out (an opponent's stones; in go); to masturbate (of a male), to ejaculate (while masturbating); to take (a photo), to record (video)"
"まるで","","quite, entirely, completely, at all; as if, as though, just like"
"赤茶","あかちゃ","reddish brown"
"赤茶ける","あかちゃける","to turn reddish-brown, to turn rufous, to become discolored, to become discoloured"
"上海","シャンハイ","Shanghai (China)"
"埋める","うめる","to bury (e.g. in the ground); to fill up (e.g. audience fills a hall), to cause to be packed; to plug (a gap), to stop (a gap), to bridge (a difference, a gap), to fill (a seat, a vacant position), to fill out; to make up for (a loss, shortage, etc.), to make amends, to compensate for; to put cold water (in a bath); to cover, to scatter something over"
"地雷","じらい","land mine, booby trap; topic that sets one off (esp. based on previous experience), sensitive topic, taboo topic"
"手品師","てじなし","magician, conjurer, illusionist"
"めぐる","","to go around; to return; to surround; to concern (usu. of disputes)"
"取りも直さず","とりもなおさず","namely, that is, which is to say"
"取り巻く","とりまく","to surround, to encircle, to enclose"
"事物","じぶつ","things, affairs"
"感性","かんせい","sensitivity, sensitiveness, sense (of ...)"
"物差し","ものさし","ruler, measure"
"片手","かたて","one hand"
"にも","","also, too, not ... either, as well, even; (it's not possible) no matter what, although one might wish otherwise"
"ひり出す","ひりだす","to expel, to eject, to push out, to force out"
"哀れ","あわれ","pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable; alack, alas"
"身につける","みにつける","to learn, to acquire knowledge; to carry, to wear (clothes, etc.), to put on"
"果たして","はたして","as was expected, just as one thought, sure enough; really, actually, ever"
"骨","ほね","bone; frame; outline, core; backbone, spirit, fortitude; laborious, troublesome, difficult"
"まぶた","","eyelid"
"舗道","ほどう","pavement, paved street"
"消え去る","きえさる","to disappear, to vanish"
"何一つ","なにひとつ","(not) one"
"一行","いちぎょう","(one) line, (one) row"
"見当","けんとう","estimate, guess, conjecture, aim; direction, bearings; registration mark (printing); approximately, about, around"
"困難","こんなん","difficulty, hardship, trouble, distress"
"くらべ","","contest, comparison, competition"
"利かす","きかす","to season, to enliven"
"落とし穴","おとしあな","pitfall, trap, pit"
"左側","ひだりがわ","left, left (hand) side"
"得る","える","to get, to earn, to acquire, to procure, to gain, to secure, to attain, to obtain, to win; to understand, to comprehend; to receive something undesirable (e.g. a punishment), to get (ill); to be able to ..., can ..."
"右側","みぎがわ","right side, right hand"
"踏みにじる","ふみにじる","to trample underfoot, to tread on, to crush with a foot"
"見捨てる","みすてる","to abandon, to fail, to desert, to forsake"
"裏切る","うらぎる","to betray, to turn traitor to, to double-cross"
"淵","ふち","deep pool, deep water, abyss; depths (e.g. of despair, etc.), grip (e.g. of death)"
"横たわる","よこたわる","to lie down, to stretch out; to lie ahead (of danger, difficulty, etc.), to lie in wait"
"なければ","","if it does not exist, if it is not there, if it is not ...; unless one ..., if one does not ..."
"教訓","きょうくん","lesson, precept, teachings, moral"
"奴隷制度","どれいせいど","slavery"
"必要不可欠","ひつようふかけつ","essential, indispensable, imperative, necessary, compelling, vital, critical"
"畑","はたけ","field (for fruits, vegetables, etc.), cultivated land, vegetable plot, kitchen garden, plantation; field (of specialization), sphere, area; womb, birth, birthplace"
"耕す","たがやす","to till, to plow, to plough, to cultivate"
"こぐ","","to row, to scull, to paddle; to pedal (e.g. bicycle); to swing (on a swing); to operate a hand pump; to push through (deep snow, the jungle, etc.)"
"地中海","ちちゅうかい","Mediterranean Sea; mediterranean"
"詩作","しさく","composition of a poem"
"ふける","","to indulge in, to give oneself up to, to be obsessed by; to be engrossed in, to be lost in, to be absorbed in"
"取り組む","とりくむ","to grapple with, to wrestle with, to engage in a bout, to be matched against; to tackle (e.g. a problem), to come to grips with, to work hard on"
"寝静まる","ねしずまる","to fall asleep"
"漁る","あさる","to fish; to look for, to search for, to hunt for, to scavenge, to scrounge, to look through, to rummage through; to go on a spree (spending, reading, etc.), to binge"
"しか","","only, nothing but"
"ねずみ","","mouse, rat; dark gray, dark grey, slate (color, colour)"
"大声","おおごえ","loud voice"
"面持ち","おももち","expression, look, countenance, face"
"誰一人","だれひとり","no one, nobody"
"あふれる","","to overflow, to brim over, to flood"
"沈没","ちんぼつ","sinking, foundering, going down, submersion; getting dead drunk; having too much fun (esp. in a red-light district, etc.) and missing work or neglecting one's duties; staying in one place for a long time"
"寸前","すんぜん","just before, on the verge of, on the brink of; just in front of, just ahead of"
"客船","きゃくせん","passenger boat"
"虫酸","むしず","heartburn; strong sense of disgust"
"虫唾が走る","むしずがはしる","to be disgusted, to be repulsed, to get the creeps"
"縁","ふち","rim, brim, edge, brink"
"頷く","うなずく","to nod, to bow one's head in assent, to agree"
"乗せる","のせる","to place on (something); to give (someone) a ride, to give a lift, to pick up, to help on board; to load (luggage), to carry, to take on board; to send out (on the airwaves, etc.); to deceive, to take for a ride; to (sing) along with (musical accompaniment); to let (someone) take part; to excite (someone); to publish (an article), to run (an ad)"
"焚き火","たきび","open-air fire (e.g. for garden refuse), bonfire; open fire (e.g. in a kitchen)"
"丹念","たんねん","painstaking, careful, meticulous, scrupulous, detailed, elaborate"
"順番","じゅんばん","turn (in line), order of things, sequential order"
"きちんと","","properly, accurately, exactly, precisely, regularly; neatly, tidily, orderly"
"一夏","いちげ","one summer (during which a monk attends a summer retreat)"
"取り憑く","とりつく","to take hold of, to possess, to haunt"
"飲み干す","のみほす","to drink up, to drain (cup)"
"床","ゆか","floor; stage (for the narrator and the shamisen player); dining platform built across a river"
"殻","から","shell, husk, hull, pod, chaff"
"退屈","たいくつ","tedium, boredom, dullness; to feel bored, to get bored with, to get tired of"
"脂","あぶら","fat, tallow, lard, grease"
"変色","へんしょく","change of color, change of colour, fading, discoloration, discolouration"
"版画","はんが","woodcut, woodblock print, art print"
"何時間","なんじかん","how many hours?"
"図柄","ずがら","design, pattern"
"じっと","","motionlessly (e.g. stand, wait), (be) still; fixedly (e.g. gaze, stare), intently (e.g. listen, think); patiently (endure), stoically; firmly (e.g. hold), restrained"
"象徴","しょうちょう","symbol"
"ビール瓶","ビールびん","beer bottle"
"代金","だいきん","price, cost, charge, payment, bill, fee"
"一通り","ひととおり","generally, in the main, briefly (look over, explain, etc.), roughly, more or less; (more or less) everything, all parts, bit of everything, whole process; ordinary, usual, average, common; one method"
"憎む","にくむ","to hate, to detest"
"指摘","してき","pointing out, identification"
"時折","ときおり","sometimes"
"たいてい","","mostly, ordinarily, usually, generally; probably; most, almost all; ordinary; proper, appropriate, moderate"
"言い分","いいぶん","one's say, one's point; complaint, grievance, objection, excuse"
"懐中","かいちゅう","one's pocket"
"懐中電灯","かいちゅうでんとう","electric torch, flashlight"
"尻","","buttocks, hips, butt, rear"
"かく","","to scratch; to perspire; to shovel, to paddle"
"口癖","くちぐせ","pet saying, favorite phrase (favorite), stock phrase; manner of talking"
"人工衛星","じんこうえいせい","artificial satellite, man-made satellite"
"疲れる","つかれる","to get tired, to tire; to be worn out (e.g. of well used objects); to starve"
"控える","ひかえる","to be temperate in, to refrain, to abstain, to hold back, to restrain oneself from excessive ...; to make notes, to jot down (e.g. phone number); to be in preparation for, to be in waiting for; to be soon, to be in the offing; to be in a close relationship (e.g. as a backer, etc.)"
"黒塗り","くろぬり","blackened, black-painted, black-lacquered; blackened thing"
"羽目","はめ","panel, wainscoting, wainscotting; plight, fix, bind, awkward situation, difficult situation, mess"
"記憶","きおく","memory, recollection, remembrance; storage"
"泥酔","でいすい","being dead drunk, drunken stupor"
"針","はり","needle, pin; hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches"
"景気","けいき","business conditions, the market, economic activity, economic climate; good (economic) times, prosperity, boom; liveliness, energy, vigour, vigor, spirit"
"垣根","かきね","hedge, fence"
"石柱","せきちゅう","stone pillar"
"僥倖","ぎょうこう","fortuitous, luck, windfall, godsend, good fortune"
"覚ます","さます","to awaken, to arouse from sleep; to bring to one's senses, to disabuse (someone of); to sober up; to dampen, to throw a damper on, to spoil"
"檻","おり","cage, pen, jail cell, gaol cell"
"叩き","たたき","mince (minced meat or fish); seared skipjack tuna; robbery, extortion; hard-packed dirt (clay, gravel, etc.) floor, concrete floor; whipping, lashing, bashing, beating, flaming"
"白み","しろみ","whiteness"
"主演","しゅえん","starring, playing the leading part"
"戦車","せんしゃ","tank (military vehicle); chariot"
"かかと","","heel (of foot, shoe, stocking, etc.)"
"吸い殻","すいがら","cigarette end, cigarette butt, tobacco ashes"
"半ダース","はんダース","half-dozen, half-a-dozen"
"砂浜","すなはま","sandy beach"
"堤防","ていぼう","bank, weir, embankment, levee"
"一種異様","いっしゅいよう","eccentric, queer, unconventional, peculiar, bizarre, strange, odd"
"生命力","せいめいりょく","vitality, (one's) life force"
"補修","ほしゅう","repair, mending"
"金利","きんり","interest rate, interest"
"恐ろしい","おそろしい","terrible, dreadful, terrifying, frightening; surprising, startling, tremendous, amazing"
"活字","かつじ","printing type, movable type; printed text, print"
"蠅","","fly"
"物珍しい","ものめずらしい","curious"
"再放送","さいほうそう","rebroadcasting, rerun"
"切羽詰まる","せっぱつまる","to be at one's wits' end, to be cornered, to be packed to the hilt"
"不治","ふじ","incurability"
"冒す","おかす","to brave, to risk, to face, to venture; to harm, to afflict, to affect; to desecrate, to profane; to assume (someone else's surname), to take"
"避暑","ひしょ","escaping the summer heat, going somewhere cooler during the summer, summering"
"避暑地","ひしょち","place that is cool in the summer, place one goes to escape the heat of summer, summer retreat"
"反吐","へど","vomit, vomiting"
"指先","ゆびさき","fingertip, finger; toe tip, toe"
"太平洋","たいへいよう","Pacific Ocean"
"浮き輪","うきわ","swim ring, (rubber) swimming ring, life buoy, life belt, float"
"漂う","ただよう","to drift, to float; to waft (e.g. a scent), to hang in the air; to be in the air (e.g. a feeling or mood); to wander, to walk around aimlessly; to be unsteady, to be unstable; to falter, to flinch, to wince; to live in unreliable circumstances"
"世間話","せけんばなし","gossip, chat"
"めぐり合う","めぐりあう","to meet fortuitously (e.g. running into an old friend), to meet by chance, to happen across"
"酢漬け","すづけ","pickling, pickles"
"あじ","","horse mackerel (Carangidae spp., esp. the Japanese horse mackerel, Trachurus japonicus), jack mackerel, pompano, scad"
"一塁","いちるい","first base; first baseman; one fort"
"脇に置く","わきにおく","to lay aside, to set aside"
"繰る","くる","to reel, to wind, to spin (thread); to turn (pages), to flip through (a book), to leaf through (a book), to consult (a dictionary), to refer to (an encyclopedia); to count (e.g. the days); to open one-by-one, to close one-by-one (e.g. shutters)"
"追い込む","おいこむ","to herd, to corner, to drive"
"でもある","","to also be (implies that as well as the earlier stated this is also the case); to be ... or something"
"きたす","","to cause, to induce, to bring about a result or state, to produce"
"来し方","きしかた","the past"
"行く末","ゆくすえ","one's future, one's fate; one's way, one's path"
"たどり着く","たどりつく","to arrive at (after a struggle), to finally reach, to find one's way to, to finally hit on (e.g. an idea)"
"放る","ほうる","to throw, to fling, to hurl, to toss; to neglect, to abandon, to leave alone, to give up on, to leave undone, to leave unfinished"
"唸る","うなる","to groan, to moan; to roar, to howl, to growl; to hum (engine, wind, etc.), to buzz, to whiz, to sough, to make a low, dull sound; to ooh and aah (in admiration); to sing in a strong, low voice (esp. traditional chant or recitation); to be about to burst, to overflow"
"上唇","じょうしん","upper lip"
"下唇","したくちびる","lower lip"
"舐める","なめる","to lick; to taste; to experience (esp. a hardship); to make fun of, to make light of, to put down, to treat with contempt, to underestimate"
"もぎ取る","もぎとる","to pluck off (esp. by twisting), to pick, to break off, to tear off; to wrest (away from), to wrench free, to snatch (away)"
"無性","むせい","asexual"
"不公平","ふこうへい","unfairness, injustice, partiality"
"精神科医","せいしんかい","psychiatrist"
"高台","たかだい","elevation, high ground"
"応接室","おうせつしつ","drawing room, parlour, parlor; reception office"
"膝","","knee, lap"
"切り","きり","end, finish, stop; bounds, limits; delivery date (of a futures contract); finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville); counter for slices (esp. thick slices), counter for cuts (e.g. fish, meat); only, just; since, after; remaining (in a particular state)"
"向かい合う","むかいあう","to be opposite, to face each other"
"臆病","おくびょう","cowardly, timid, easily frightened"
"やぎ","","goat"
"金時計","きんどけい","gold watch"
"やたら","","indiscriminately, blindly, at random, recklessly, thoughtlessly, excessively, profusely; indiscriminate, random, excessive"
"兎","","rabbit, hare"
"ぶら下げる","ぶらさげる","to hang, to suspend, to dangle, to swing, to carry"
"騙す","だます","to trick, to cheat, to deceive; to coax, to wheedle, to soothe and humor (humour)"
"警告","けいこく","warning, advice"
